"platform","date","info","link","score"
"facebook","2019/10/21","Facebook displays misinformation labels more prominently on false or partly false posts","https://about.fb.com/news/2019/10/update-on-election-integrity-efforts/#misinformation","1"
"facebook","2019/10/21","Facebook offers transparency into political ads by updating the Ad Library, Ad Library Report and Ad Library API","https://about.fb.com/news/2019/10/update-on-election-integrity-efforts/#misinformation","2"
"facebook","2019/10/21","Facebook reduces the spread of misinformation","https://about.fb.com/news/2019/10/update-on-election-integrity-efforts/#misinformation","1"
"facebook","2020/06/26","Facebook adds labels to content that used to be exempt because it was considered ‘newsworthy’ (e.g. posts by politicians that violate Facebook policies)","https://www.facebook.com/zuck/posts/10112048980882521","1"
"facebook","2020/08/13","Facebook launches the Voting Information Center","https://www.facebook.com/business/news/launching-our-voting-information-center-on-facebook-and-instagram","0.5"
"facebook","2020/08/13","Facebook adds labels to election-related posts with official voter information sources","https://www.facebook.com/business/news/launching-our-voting-information-center-on-facebook-and-instagram","1"
"facebook","2020/09/03","Facebook adds ‘informational labels’ to posts seeking to delegitimize the outcome of the elections or voting procedures","https://www.facebook.com/zuck/posts/10112270823363411","1"
"facebook","2020/09/03","Facebook adds labels to posts by candidates or campaigns prematurely claiming victory","https://www.facebook.com/zuck/posts/10112270823363411","2"
"facebook","2020/09/03","Facebook stops accepting new political ads the week before election day","https://www.facebook.com/zuck/posts/10112270823363411","2"
"facebook","2020/09/28","Facebook bans ads that delegitimize election processes or results","https://www.ft.com/content/c286f785-cb18-4e78-977a-5e9269cda736","2"
"facebook","2020/10/07","Facebook announces that it would stop running social issue, electoral, or political ads in the US immediately after polls close on election day","https://about.fb.com/news/2020/10/preparing-for-election-day/","2"
"facebook","2020/10/30","Facebook stops recommending Groups focused on political or social issues to users","https://techcrunch.com/2020/10/30/facebook-group-recommendations-election/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAJJVh5mMJhWF02njitB4Y_LkJePt6I03C6A33eTSWs-DBgavnOoiiR3KwBJG2svv2x6uw_-Yw4zE5aFvRkZs5cyTgFy0gwkPTxHDs5Z2QExJKHnGZECRwhm1MR1Fb5Jeb1Oe3UereXmEF6W7OcaGmZvHkAyQL7p7slYd1F6ojGXI","2"
"facebook","2020/11/04","Facebook expands its labeling policy on false claims of victory to all users (not just candidates and campaigns)","https://twitter.com/Liz_Shepherd/status/1324103154213003264","1"
"facebook","2020/11/24","Facebook tweaks its News Feed algorithm to prioritize authoritative news sources","https://www.nytimes.com/2020/11/24/technology/facebook-election-misinformation.html","2"
"facebook","2020/12/15","Facebook reverses its ad ban in Georgia ahead of the state’s runoff elections","https://www.theguardian.com/technology/2021/jan/05/facebook-georgia-political-advertising-ban","-1"
"facebook","2020/12/17","Facebook reverses changes to the News Feed algorithm","","-2"
"facebook","2021/01/06","Facebook removes Trump video supporting Capitol rioters","https://www.theverge.com/2021/1/6/22217788/facebook-remove-trump-video-emergency-situation-mob-violence","2"
"facebook","2021/01/06","Facebook reinstates political ad ban for Georgia","https://www.theguardian.com/technology/2021/jan/05/facebook-georgia-political-advertising-ban","1"
"facebook","2021/01/07","Facebook locks Trump's account","https://www.nytimes.com/2021/01/07/technology/facebook-trump-ban.html","3"
"facebook","2021/01/11","Facebook removes any content using the phrase 'Stop the Steal'","https://about.fb.com/news/2021/01/preparing-for-inauguration-day/","2"
"facebook","2021/01/15","Facebook blocks the creation of any new Facebook events nearby the White House, the US Capitol building, and state capitol buildings, until Inauguration Day","https://about.fb.com/news/2021/01/preparing-for-inauguration-day/","2"
"twitter","2019/10/30","Twitter bans all political advertising","https://www.nytimes.com/2019/10/30/technology/twitter-political-ads-ban.html","3"
"twitter","2020/01/30","Twitter commits to turning on a tool at key moments of the 2020 US election to allow users to report misleading information about the election","","1"
"twitter","2020/02/04","Twitter introduces rules and labels for synthetic and manipulated media","https://blog.twitter.com/en_us/topics/company/2020/new-approach-to-synthetic-and-manipulated-media.html","1"
"twitter","2020/05/26","Twitter, for the first time, puts a warning label on one of President Trump’s Tweets that questions mail-in ballots without evidence","https://www.vox.com/recode/2020/5/26/21271210/twitter-fact-check-trump-tweets-mail-voting-fraud-rigged-election-misleading-statements","1"
"twitter","2020/05/29","Twitter, for the first time, puts President Trump's Tweets behind notice for glorifying violence (“when the looting starts, the shooting starts”)","https://www.nytimes.com/2020/05/29/technology/trump-twitter-minneapolis-george-floyd.html","2"
"twitter","2020/08/31","Twitter introduces new search prompts for finding trusted info about the 2020 US election","https://twitter.com/TwitterGov/status/1300463614382333952?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1300463614382333952%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.socialmediatoday.com%2Fnews%2Ftwitter-adds-new-search-prompts-to-guide-users-to-official-voting-informati%2F584452%2F","1"
"twitter","2020/09/01","Twitter ads more context to Trends through descriptions or pinned tweets (For You & Trending)","https://blog.twitter.com/en_us/topics/product/2020/adding-more-context-to-trends.html","1"
"twitter","2020/09/10","Twitter says it will label or remove false or misleading information intended to undermine public confidence in an election","https://blog.twitter.com/en_us/topics/company/2020/civic-integrity-policy-update.html","2"
"twitter","2020/09/15","Twitter introduces a 2020 US election hub","https://techcrunch.com/2020/09/15/twitter-election-hub-voting-tools/","1"
"twitter","2020/11/03","Twitter labels Tweets by candidates and elected officials that violate the platform's policies","","2"
"twitter","2020/09/12","Twitter publishes a self-evaluation, claiming they labeled Tweets under their Civic Integrity Policy","https://blog.twitter.com/en_us/topics/company/2020/2020-election-update.html","0"
"twitter","2020/09/12","Twitter stops reviewing and providing context to all Trends","","-2"
"twitter","2020/09/12","Twitter stops providing “liked by” and “followed by” recommendations from accounts that users don’t follow","","-1"
"twitter","2021/01/07","Twitter removes a video by President Trump repeating unsubstantiated claims about widespread election fraud and addressing supporters who had stormed the US Capitol","","1"
"twitter","2021/01/07","Twitter requires President Trump to delete three Tweets for violating the platform's Civic Integrity policy, locks his account for 12 hours, and warns him that future violations would lead to permanent suspension","https://twitter.com/twittersafety/status/1346970430062485505","2"
"twitter","2021/01/08","Twitter permanently suspends Trump's account, citing risk of inciting further violence","https://twitter.com/TwitterSafety/status/1347684877634838528","3"
"twitter","2021/01/12","Twitter updates its Civic Integrity Policy with a new strike system for repeated violations","https://help.twitter.com/en/rules-and-policies/election-integrity-policy","2"
"youtube","2020/02/03","YouTube announces it will remove election-related content that violates its 2020 US election policies","https://blog.youtube/news-and-events/how-youtube-supports-elections","1"
"youtube","2020/04/28","YouTube updates its information panels to address misinformation","https://blog.youtube/news-and-events/expanding-fact-checks-on-youtube-to-united-states","1"
"youtube","2020/08/13","YouTube updates its February announcement about 2020 US election preparations","https://blog.youtube/news-and-events/an-update-on-how-youtube-supports-elections/","0"
"youtube","2020/09/24","YouTube amplifies authoritative voting-related information","","1"
"youtube","2020/11/03","YouTube introduces ‘information panels’ to both search queries and videos spreading misinformation","","1"
"youtube","2020/11/03","Google, YouTube's parent company, blocks election ads for the foreseeable future","https://www.axios.com/google-to-block-election-ads-after-election-day-4b60650d-b5c2-4fb4-a856-70e30e19af17.html","1"
"youtube","2020/11/06","YouTube removes some election information panels without details on which or why","https://support.google.com/youtube/answer/10047535?hl=en","-2"
"youtube","2020/12/09","YouTube starts removing content that alleges either widespread fraud or that questions the legitimacy of the election","https://blog.youtube/news-and-events/supporting-the-2020-us-election","1"
"youtube","2020/12/10","Google, YouTube's parent company, lifts its ban on election ads","","-1"
"youtube","2021/01/07","YouTube introduces new strike rules for videos that violate its policies","https://support.google.com/youtube/answer/2802032?hl=en","1"
"youtube","2021/01/12","YouTube removes one of Trump's videos for violating its policy prohibiting the incitement of violence","https://www.theverge.com/2021/1/12/22218757/youtube-trump-account-video-deleted-uploads-suspension-indefinite","2"
"youtube","2021/01/14","Google, YouTube's parent company, blocks all political ads till inauguration","","0.5"
"tiktok","2019/10/03","TikTok bans all political ads, including issue ads","https://newsroom.tiktok.com/en-us/understanding-our-policies-around-paid-ads","3"
"tiktok","2020/08/05","TikTok strengthens its policies on manipulated content","https://newsroom.tiktok.com/en-us/combating-misinformation-and-election-interference-on-tiktok","1"
"tiktok","2020/08/05","TikTok strengthens its policies on inauthentic behavior","https://newsroom.tiktok.com/en-us/combating-misinformation-and-election-interference-on-tiktok","1"
"tiktok","2020/08/05","TikTok expands fact-checking partnerships to target election-related content","https://newsroom.tiktok.com/en-us/combating-misinformation-and-election-interference-on-tiktok","1"
"tiktok","2020/09/29","TikTok launches in-app '2020 Election Guide'","https://newsroom.tiktok.com/en-us/tiktok-launches-in-app-guide-to-the-2020-us-elections","1"
"tiktok","2020/10/07","TikTok launches the ‘Election Safety Center’","https://www.tiktok.com/safety/resources/2020-us-elections","1"
"tiktok","2020/10/07","TikTok reminds users on election-related pages to check sources","https://www.tiktok.com/safety/resources/2020-us-elections","1"
"tiktok","2020/10/28","TikTok starts adding ‘banners’ that direct users to the Election Guide to content with unverifiable claims about voting, premature declarations of victory, or attempts to discourage voting","https://newsroom.tiktok.com/en-us/supporting-our-community-on-election-day-and-beyond","1"
"tiktok","2020/10/28","TikTok announces it will reduce distribution of claims that cannot be fact-checked or verified","https://newsroom.tiktok.com/en-us/supporting-our-community-on-election-day-and-beyond","1"
"tiktok","2020/11/04","TikTok begins removing hashtags, and preventing searches, associated with claims of voter fraud and election-related misinformation","https://techcrunch.com/2020/11/05/tiktok-takes-down-some-hashtags-related-to-election-misinformation-leaves-others/","2"
"tiktok","2020/12/15","TikTok expands Community Guidelines to clarify what it considers incitement to violence","https://techcrunch.com/2020/12/15/tiktok-expands-community-guidelines-rolls-out-new-well-being-focused-features/","1"
"tiktok","2021/01/07","TikTok begins removing and redirecting hashtags used by Capitol Hill rioters","https://techcrunch.com/2021/01/07/tiktok-bans-videos-of-trump-inciting-mob-blocks-stormthecapital-and-other-hashtags/","2"
